Data extracted on 11/09/2025 11:40:19 from [ESTAT];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dataset: ;Early leavers from education and training, by citizenship [sdg_04_10a];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Last updated: ;14/04/2025 23:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time frequency;;Annual;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sex;;Total;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Labour force and employment status;;Population;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Unit of measure;;Percentage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Age class;;From 18 to 24 years;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Country of citizenship;;Reporting country;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TIME;2004;;2005;;2006;;2007;;2008;;2009;;2010;;2011;;2012;;2013;;2014;;2015;;2016;;2017;;2018;;2019;;2020;;2021;;2022;;2023;;2024;
GEO (Labels);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
European Union - 27 countries (from 2020);14,2;;14,6;;14,0;b;13,5;;13,0;;12,6;;12,5;;11,9;;11,3;;10,7;;10,0;b;10,0;;9,5;;9,4;;9,2;;8,8;;8,7;;8,5;b;8,3;;8,2;;8,0;
Euro area – 20 countries (from 2023);15,5;;16,1;;15,7;;15,0;;14,4;;13,9;;13,6;;12,9;;12,0;;11,2;;10,3;b;10,2;;9,5;;9,4;;9,3;;8,8;;8,7;;8,3;b;8,2;;8,1;;7,9;
Belgium;12,1;b;11,7;;11,4;b;10,9;;10,7;b;10,1;;11,0;;11,3;;10,8;;9,7;;9,0;b;9,1;;7,8;;8,0;b;7,4;;7,3;;7,4;;5,9;b;5,7;;5,7;;6,5;b
Bulgaria;21,5;;20,5;;17,4;b;15,0;;14,8;;14,8;;12,7;b;11,9;b;12,6;;12,5;;12,9;b;13,5;;13,8;;12,8;;12,7;;14,0;b;12,8;;12,1;b;10,3;;9,4;;8,2;
Czechia;6,1;;6,1;;5,0;b;5,2;;5,6;;5,3;;4,8;;4,9;b;5,5;;5,4;b;5,4;b;6,1;;6,5;;6,7;;6,2;;6,7;;7,4;;6,2;b;6,2;;6,1;;4,9;
Denmark;8,4;;8,6;;8,7;;12,3;b;12,2;b;11,1;;11,3;;9,9;;9,4;;8,0;;7,8;b;7,9;;7,3;b;8,6;b;10,2;;9,6;;9,1;;9,7;b;9,8;;10,4;;10,2;
Germany;9,8;;11,5;b;11,8;b;10,8;;10,0;b;9,4;;10,2;b;10,1;;9,0;;8,3;;7,9;b;8,3;;7,7;;7,6;;7,8;;7,6;;7,4;b;9,3;b;9,5;;9,4;;9,2;b
Estonia;11,7;;10,6;;12,8;;14,3;;13,4;;12,3;b;10,2;;10,3;;10,4;;9,2;;12,1;b;13,5;;10,9;;11,7;;11,6;;10,6;;8,0;;8,9;b;10,3;;9,7;;11,0;
Ireland;13,2;b;12,5;;12,3;b;12,3;b;11,9;;11,2;;11,0;;10,2;;9,2;;8,1;;6,7;b;6,8;;5,9;;5,1;b;5,2;;5,2;;5,0;;3,3;b;3,5;;3,8;;3,0;b
Greece;11,7;b;11,0;;12,9;b;11,8;;11,0;b;9,9;b;9,5;;9,3;;8,4;;7,6;;7,5;b;6,9;;5,5;;5,4;;3,9;;3,0;;3,0;;2,8;b;3,6;;3,3;;2,6;b
Spain;30,6;;28,6;b;28,0;b;28,3;;28,6;;27,9;;25,3;;23,2;;21,6;;20,8;;19,1;b;17,8;;16,4;;15,9;;15,3;;14,7;;13,6;;11,4;b;11,3;;11,0;;10,4;
France;11,5;;11,9;;12,2;;12,1;;11,1;;11,6;;12,1;;11,7;;11,1;;9,1;b;8,4;b;8,8;;8,3;;8,3;;8,2;;7,8;;7,6;;7,5;b;7,2;;7,1;;7,3;
Croatia;:;;:;;4,7;bu;4,5;;4,3;;4,5;;4,4;b;5,0;;5,0;b;4,3;;2,8;bu;2,7;u;2,8;u;2,9;u;3,1;u;3,0;u;2,2;u;2,3;bu;2,1;u;2,0;u;2,0;u
Italy;:;;20,8;;18,9;b;18,0;;17,6;;16,9;;16,4;;15,4;;14,9;;14,9;;13,1;b;12,8;;11,9;;12,1;;12,2;b;11,3;;12,1;;10,9;b;9,8;;9,0;;8,5;
Cyprus;17,0;;14,0;;13,1;b;10,7;;10,5;;8,4;b;7,6;;7,0;;7,4;;7,0;;4,5;b;3,2;;5,1;;5,7;;6,0;;4,8;;4,6;;3,8;bu;3,2;u;5,3;;4,2;
Latvia;15,8;;15,4;;15,6;b;15,7;;15,1;b;13,7;;12,6;;11,0;;9,8;;9,3;;8,4;b;10,0;;10,1;;8,4;;8,5;;8,7;;7,4;;7,2;b;6,6;;7,5;;8,0;
Lithuania;10,3;b;8,4;;8,9;b;7,8;;7,5;;8,7;;7,9;;7,4;;6,5;;6,3;;5,9;b;5,5;;4,9;;5,5;;4,6;;4,0;;5,6;;5,3;b;4,8;;6,4;;8,6;
Luxembourg;9,2;;10,4;;12,0;b;9,7;b;9,7;;4,7;b;5,0;;5,8;;6,9;;5,5;;4,9;b;7,0;b;4,7;;4,9;;5,7;;4,7;;6,0;;7,0;b;8,5;;6,4;u;:;u
Hungary;12,5;;12,5;;12,5;b;11,4;;11,7;;11,4;;10,7;;11,4;;11,7;;11,9;;11,5;b;11,6;b;12,4;;12,5;;12,5;b;11,9;;12,1;;12,0;b;12,2;;11,6;;10,4;
Malta;:;;33,1;b;32,2;b;30,6;;27,8;;26,0;;21,4;;18,8;b;17,9;;16,6;;16,4;b;16,4;;14,9;;14,0;b;12,2;;11,5;;11,9;;9,2;b;6,1;;5,6;u;7,9;
Netherlands;13,8;;13,9;b;12,5;b;11,5;;11,0;;11,2;;10,0;;9,0;;8,8;;9,1;b;8,5;b;7,9;;7,8;;6,9;;6,9;;7,2;b;6,7;;4,8;b;5,4;;5,7;;6,4;
Austria;7,8;b;7,3;;7,5;b;8,4;;8,1;;7,0;;6,6;;7,1;;6,1;;5,8;;5,4;b;5,5;;5,8;;5,2;;5,3;;5,5;;5,1;;5,6;b;6,2;;6,8;;5,5;
Poland;5,6;b;5,3;;5,4;;4,9;;5,0;b;5,3;;5,4;b;5,6;;5,7;;5,6;b;5,4;b;5,3;;5,2;;4,9;;4,8;b;5,2;b;5,3;;5,8;b;4,8;;3,6;;4,0;
Portugal;39,5;b;38,1;;38,2;b;36,2;;34,7;;30,7;;27,8;;22,8;b;20,2;;18,5;;17,0;b;13,2;;13,7;;12,3;;11,4;;10,1;;8,9;;6,3;b;6,1;;7,5;;6,2;
Romania;22,4;;19,6;;17,9;b;17,3;;15,9;;16,7;;19,3;b;18,1;;17,8;;17,3;;18,1;b;19,1;;18,6;;18,1;;16,4;;15,4;;15,6;;15,3;b;15,6;;16,6;;16,8;
Slovenia;4,3;;4,9;;5,6;b;4,1;;4,8;;5,1;;4,8;;3,9;;4,1;;3,5;;4,0;b;4,4;;4,4;;4,3;;3,8;;4,1;;3,8;;3,0;bu;3,5;u;4,5;b;4,3;
Slovakia;6,8;;6,3;;6,6;b;6,5;;6,0;;4,9;;4,7;;5,1;b;5,3;;6,4;;6,7;b;6,9;;7,4;;9,3;;8,5;;8,4;;7,6;;7,8;b;7,4;b;6,4;;7,5;
Finland;9,7;;10,1;;9,5;;8,9;;9,7;;9,5;;9,9;;9,4;;8,8;;9,0;;9,2;b;8,8;;7,5;;8,0;;8,1;;7,1;;7,8;;7,8;b;8,1;;9,4;;9,4;
Sweden;9,0;;10,5;b;8,2;b;7,6;b;7,5;b;6,6;;6,2;;6,1;;6,9;;6,5;;6,0;b;6,3;;6,2;;6,4;;6,0;b;4,8;;5,6;;6,6;b;7,1;;6,7;;6,2;
Iceland;24,6;;24,6;;:;u;23,2;;23,5;;20,9;b;22,5;;19,1;;19,2;;19,9;;18,3;b;18,1;;19,6;;17,6;;20,4;;18,0;;14,1;b;13,5;b;15,2;;15,1;;14,0;
Norway;:;;:;;17,6;;18,3;;17,0;;17,7;;17,5;;16,4;;14,8;;13,5;;11,5;b;10,0;;10,9;;10,4;;9,6;;9,9;;9,9;;11,8;b;12,3;;12,1;;12,8;
Switzerland;5,4;;6,1;;6,5;;4,4;;4,5;;6,2;;4,1;b;4,0;;3,4;;3,8;;4,4;b;3,7;;3,1;;2,7;;2,7;;3,1;;2,9;;3,6;b;4,2;;4,1;;3,9;
United Kingdom;16,9;b;16,9;;16,9;b;16,9;b;17,2;b;16,0;;15,1;b;15,2;b;13,5;;12,5;;11,9;b;11,0;;11,2;;10,6;;10,6;;10,9;;:;;:;;:;;:;;:;
Bosnia and Herzegovina;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;4,6;;3,6;;4,2;;:;
Montenegro;:;;:;;:;;:;;:;;:;;:;;7,0;;6,6;;4,6;;4,6;b;5,5;;5,0;;4,9;;4,4;;5,1;;3,7;;:;;:;;:;;:;
North Macedonia;:;;:;;22,7;;19,8;b;19,5;;16,1;;15,5;;13,5;;11,5;;11,3;;12,4;b;11,4;;9,9;;8,5;;7,0;;7,1;;5,7;;:;;:;;:;;:;
Serbia;:;;:;;:;;:;;:;;:;;8,3;;8,4;;8,1;;8,8;;8,3;b;7,5;;7,0;;6,2;;6,8;;6,6;;5,5;;7,5;b;5,8;;5,9;;6,2;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Special value;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
:;not available;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Observation flags:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bu;break in time series, low reliability;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
b;break in time series;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
u;low reliability;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
